Adjustment Type,Asset ID,Asset Title,Asset Labels,Asset Channel ID,Asset Type,Custom ID,ISRC,UPC,GRid,Artist,Album,Label,Administer Publish Rights,Owned Views,YouTube Revenue Split : Auction,YouTube Revenue Split : Reserved,YouTube Revenue Split : Partner Sold YouTube Served,YouTube Revenue Split : Partner Sold Partner Served,YouTube Revenue Split,Partner Revenue : Auction,Partner Revenue : Reserved,Partner Revenue : Partner Sold YouTube Served,Partner Revenue : Partner Sold Partner Served,Partner Revenue
None,A908685168150758,Amores Como el Nuestro clasico de Los Charros con La Nueva Luna Damas Gratis Rafaga Angela Leiva etc,,UChpFxnsr_t8vAqkmS9QcxSw,Music Video,IrAFTy4iJKo,,,,Amores Como el Nuestro clasico de Los Charros con La Nueva Luna Damas Gratis Rafaga Angela Leiva etc,,,no,417653,59.636506,0.147338,0,0,59.783844,23.914541,0.059417,0,0,23.973958
None,A310033325278386,Pa tra rkt,,,Sound Recording,196626282378_ARG991034974,ARG991034974,196626282378,,El Jarra,Pa tra rkt,Magenta,no,261867,45.366611,0,0,0,45.366611,18.168175,0,0,0,18.168175
None,A484586817400813,DALILA Y LA SAN FRANCISCO   LO QUE SON LAS COSAS01,,UCAKInMJc6MOUJigFGHeMluw,Music Video,8T0ZhYDYFRs,,,,"Dalila,La San Francisco",,,no,20929,29.457011,0,0,0,29.457011,13.259911,0,0,0,13.259911
None,A709319873166461,Sentimiento Urbano 🎵 Mientes ❌ Te fuiste de aqui ❌ Me duele amarte 🔥 Sesion Cumbia 2022,,UCmUeRwfke-1W5UFMe0Sah0g,Music Video,yE40ZFwlDdo,ARG991034952,196626182456,,Sentimiento Urbano,,Magenta Discos,no,12821,15.873836,0,0,0,15.873836,7.146873,0,0,0,7.146873
None,A279827902745685,Sueño encontrarme con vos,,,Sound Recording,196626178480_ARG991034940,ARG991034940,196626178480,,La Liga,Sueño encontrarme con vos,Magenta,no,21703,17.610844,0,0,0,17.610844,7.048168,0,0,0,7.048168
None,A891536254825333,Se parece mas a ti,,,Sound Recording,,ARG991034938,,,Cumbia Hits,Se parece mas a ti,,no,24538,16.06812,0,0,0,16.06812,6.431332,0,0,0,6.431332
None,A958440182608116,La Nueva Luna Damas Gratis Rafaga ft Daniel Cardozo Amores como el Nuestro,,,Music Video,Ptu7kNj7MYQ,,,,Amores como el nuestro un clasico de los Charros feat La Nueva Luna Damas Gratis Los del Fuego Daniel Agostini Angela Leiva,,,no,158123,15.74878,0.001425,0,0,15.750205,6.323411,0.00057,0,0,6.323981
None,A562192405391914,Al Salir la Luna,,,Sound Recording,,ARG991027369,,,Flash 5,Creedence Clearwater Revival Greatest Hits,Magenta Discos,no,123660,15.546298,0,0,0,15.546298,6.244688,0,0,0,6.244688
None,A680019067080993,Lagrimas de Amor,,,Sound Recording,196626308290_ARG991034993,ARG991034993,196626308290,,Siete Lunas,Lagrimas de Amor,Magenta,no,133403,15.553381,0,0,0,15.553381,6.2435,0,0,0,6.2435
None,A859079930378879,Corrió la Voz,,,Sound Recording,,ARG991027370,,,Flash 5,Creedence Clearwater Revival Greatest Hits,Magenta Discos,no,123817,15.520788,0,0,0,15.520788,6.234483,0,0,0,6.234483
None,A111277073084315,Especial de Medianoche,,,Sound Recording,,ARG991027371,,,Flash 5,Creedence Clearwater Revival Greatest Hits,Magenta Discos,no,124697,15.520638,0,0,0,15.520638,6.234422,0,0,0,6.234422
None,A682972584198954,Antes Que Me Acuses,,,Sound Recording,,ARG991027372,,,Flash 5,Creedence Clearwater Revival Greatest Hits,Magenta Discos,no,123432,15.520547,0,0,0,15.520547,6.234385,0,0,0,6.234385
None,A574208261247718,Río Verde,,,Sound Recording,,ARG991027368,,,Flash 5,Creedence Clearwater Revival Greatest Hits,Magenta Discos,no,124576,15.078842,0,0,0,15.078842,6.057491,0,0,0,6.057491
None,A338667196417020,Banda Viajera,,,Sound Recording,,ARG991027374,,,Flash 5,Creedence Clearwater Revival Greatest Hits,Magenta Discos,no,122465,15.055629,0,0,0,15.055629,6.048162,0,0,0,6.048162
None,A902867080543071,Cross,,,Sound Recording,,ARG991027382,,,Flash 5,Creedence Clearwater Revival Greatest Hits,Magenta Discos,no,122375,15.049115,0,0,0,15.049115,6.045556,0,0,0,6.045556
None,A583565346104593,Capo de Algodón,,,Sound Recording,,ARG991027383,,,Flash 5,Creedence Clearwater Revival Greatest Hits,Magenta Discos,no,122383,15.049109,0,0,0,15.049109,6.045553,0,0,0,6.045553
None,A512407812135069,Has Visto la Lluvia,,,Sound Recording,,ARG991027373,,,Flash 5,Creedence Clearwater Revival Greatest Hits,Magenta Discos,no,118212,15.048948,0,0,0,15.048948,6.04549,0,0,0,6.04549
